title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1
Blade: Trinity,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2,198.3159476923077,New Line Cinema,Amen Ra Films,Jeff Varga,David S. Goyer,Conrad Smart,Wesley Snipes,Kris Kristofferson
Red Dawn,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",5,913.726119047619,United Artists,Valkyrie Films,Kevin Reynolds,John Milius,Thom Noble,Patrick Swayze,C. Thomas Howell
Resident Evil: Retribution,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,369.4757769230769,Davis-Films,,Jatinder Singh Manhas,Paul W.S. Anderson,Niven Howie,Milla Jovovich,Sienna Guillory
Death Race,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,163.91670222222223,Universal Pictures,Cruise/Wagner Productions,Sylvaine Dufaux,Paul W.S. Anderson,,Jason Statham,Joan Allen
The Long Kiss Goodnight,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,137.62578615384615,New Line Cinema,Forge,Allen Hall,Renny Harlin,William Goldenberg,Geena Davis,Samuel L. Jackson
Zathura: A Space Adventure,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",1,98.95615538461539,Columbia Pictures Corporation,Teitler Film,Laurette Dobson,Jon Favreau,Dan Lebental,Jonah Bobo,Josh Hutcherson
Fight Club,"[{""id"": 18, ""name"": ""Drama""}]",2,160.08532222222223,Regency Enterprises,Fox 2000 Pictures,Misa Kageyama,David Fincher,James Haygood,Edward Norton,Brad Pitt
We Are Marshall,"[{""id"": 18, ""name"": ""Drama""}]",1,66.99286769230768,Legendary Pictures,Thunder Road Pictures,Cory Helms,McG,Gregg London,Matthew McConaughey,Matthew Fox
Hudson Hawk,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",1,26.489353846153847,TriStar Pictures,Silver Pictures,Michael Dryhurst,Michael Lehmann,Michael Tronick,Bruce Willis,Danny Aiello
"I, Frankenstein","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2,109.46860307692307,Lakeshore Entertainment,Sidney Kimmel Entertainment,Rashmi Salvi,Stuart Beattie,Marcus D'Arcy,Aaron Eckhart,Yvonne Strahovski
Oliver Twist,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1,84.187412,R.P. Productions,ETIC Films,Jirí Matolín,Roman Polanski,Hervé de Luze,Barney Clark,Ben Kingsley
Elektra,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2,131.81759534883722,Twentieth Century Fox Film Corporation,Regency Enterprises,Salar Saleh,Rob Bowman,Kevin Stitt,Jennifer Garner,Goran Visnjic
Sin City: A Dame to Kill For,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1,60.62710153846154,Miramax Films,Troublemaker Studios,Shara Storch,Frank Miller,Robert Rodriguez,Mickey Rourke,Jessica Alba
Random Hearts,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,116.575890625,Columbia Pictures,,Marykay Powell,Sydney Pollack,William Steinkamp,Harrison Ford,Kristin Scott Thomas
Everest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",3,369.86833454545456,Universal Pictures,Working Title Films,Hjörtur Grétarsson,Baltasar Kormákur,Mick Audsley,Jason Clarke,Jake Gyllenhaal
Perfume: The Story of a Murderer,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",3,264.360646,Davis-Films,Nouvelles Éditions de Films (NEF),Gigi Oeri,Tom Tykwer,Alexander Berner,Ben Whishaw,Simon Chandler
Austin Powers in Goldmember,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,470.88163650793655,New Line Cinema,Eric's Boy,Brandon Criswell,Jay Roach,Greg Hayden,Mike Myers,Beyoncé Knowles
Astro Boy,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,67.83241076923076,The Weinstein Company,Summit Entertainment,John Dillon,David Bowers,,Nicolas Cage,Kristen Bell
Jurassic Park,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",6,1460.4761904761904,Universal Pictures,Amblin Entertainment,TyRuben Ellingson,Steven Spielberg,Michael Kahn,Sam Neill,Laura Dern
Wyatt Earp,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}]",1,39.765079365079366,Tig Productions,Warner Bros.,Jon Slan,Lawrence Kasdan,Carol Littleton,Kevin Costner,Dennis Quaid
Clear and Present Danger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,348.20599516129033,Paramount Pictures,Mace Neufeld Productions,Lis Kern,Phillip Noyce,Neil Travis,Harrison Ford,Willem Dafoe
Dragon Blade,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",2,186.99338923076922,Shanghai Film Group,Jackie & JJ Production,He Jun,Daniel Lee,,Jackie Chan,John Cusack
Little Man,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,158.7423765625,Revolution Studios,Wayans Bros. Entertainment,Brian Sipe,Keenen Ivory Wayans,Mike Jackson,Marlon Wayans,Shawn Wayans
U-571,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",2,205.91357258064517,Universal Pictures,Canal Plus,Allen Hall,Jonathan Mostow,Wayne Wahrman,Matthew McConaughey,Bill Paxton
The American President,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,173.9991870967742,Columbia Pictures,Castle Rock Entertainment,Aaron Sorkin,Rob Reiner,Robert Leighton,Michael Douglas,Annette Bening
The Love Guru,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1,67.45010322580646,Paramount Pictures,Goldcrest Pictures,John Houlihan,Marco Schnabel,Gregory Perler,Mike Myers,Jessica Alba
3000 Miles to Graceland,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1,30.19383064516129,Franchise Pictures,Warner Bros.,J.J. Makaro,Demian Lichtenstein,Miklos Wright,Kurt Russell,Kevin Costner
The Hateful Eight,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 37, ""name"": ""Western""}]",3,354.0002659090909,Double Feature Films,The Weinstein Company,Coco Francini,Quentin Tarantino,Fred Raskin,Samuel L. Jackson,Kurt Russell
Hop,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,291.9900365079365,Universal Pictures,Illumination Entertainment,Ian Blum,Tim Hill,Peter S. Elliot,Russell Brand,James Marsden
300,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}]",4,650.1698753846154,Virtual Studios,Legendary Pictures,Hugo Dominguez,Zack Snyder,William Hoy,Gerard Butler,Lena Headey
Meet the Fockers,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",4,645.8036737499999,DreamWorks SKG,Universal Pictures,Rhonda Sherman,Jay Roach,Jon Poll,Ben Stiller,Teri Polo
Marley & Me,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,406.80395999999996,Sunswept Entertainment,Dune Entertainment III,Todd Aron Marks,David Frankel,Mark Livolsi,Owen Wilson,Jennifer Aniston
The Green Mile,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",3,474.3333333333333,Castle Rock Entertainment,Darkwoods Productions,Willie Mann,Frank Darabont,Richard Francis-Bruce,Tom Hanks,Michael Clarke Duncan
Chicken Little,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2,209.62177666666668,Walt Disney Pictures,Walt Disney Feature Animation,Liza Breuninger,Mark Dindal,Dan Molina,Zach Braff,Joan Cusack
Gone Girl,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",4,605.4596114754099,Twentieth Century Fox Film Corporation,Regency Enterprises,Tyler Nelson,David Fincher,Kirk Baxter,Ben Affleck,Rosamund Pike
The Bourne Identity,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,356.72370666666666,Universal Pictures,"Kennedy/Marshall Company, The",Kevin Connolly,Doug Liman,Saar Klein,Matt Damon,Franka Potente
GoldenEye,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",4,607.2310931034483,United Artists,Eon Productions,Steve Foster,Martin Campbell,Terry Rawlings,Pierce Brosnan,Sean Bean
The General's Daughter,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,249.50975333333335,Paramount Pictures,MFP Munich Film Partners GmbH & Company I. Produktions KG,Patti Dalzell,Simon West,Glen Scantlebury,John Travolta,Madeleine Stowe
The Truman Show,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,440.19700166666667,Paramount Pictures,Scott Rudin Productions,Tim Jordan,Peter Weir,Lee Smith,Jim Carrey,Laura Linney
The Prince of Egypt,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",3,312.3045542857143,DreamWorks SKG,DreamWorks Animation,Adrienne Lusby,Brenda Chapman,Nick Fletcher,Val Kilmer,Ralph Fiennes
Daddy Day Care,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,274.056445,Columbia Pictures,Revolution Studios,Chris Campbell,Steve Carr,Christopher Greenbury,Eddie Murphy,Jeff Garlin
2 Guns,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,216.2957557377049,Universal Studios,Marc Platt Productions,Brandon Grimes,Baltasar Kormákur,Michael Tronick,Denzel Washington,Mark Wahlberg
Cats & Dogs,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2,155.62525166666668,Village Roadshow Pictures,NPV Entertainment,Eric Oliver,Lawrence Guterman,Rick Finney,Jeff Goldblum,Elizabeth Perkins
The Italian Job,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",3,293.450285,De Line Pictures,Working Title Films,Jeff Bowler,F. Gary Gray,Christopher Rouse,Mark Wahlberg,Charlize Theron
Two Weeks Notice,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",2,155.59152999999998,Village Roadshow Pictures,Castle Rock Entertainment,Marc Lawrence,Marc Lawrence,Susan E. Morse,Sandra Bullock,Hugh Grant
Antz,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,286.263105,DreamWorks SKG,Pacific Data Images (PDI),George Bruder,Tim Johnson,Stan Webb,Woody Allen,Dan Aykroyd
Couples Retreat,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,245.49262857142855,Universal Pictures,Wild West Picture Show Productions,Christine Tisseau Giraudel,Peter Billingsley,,Vince Vaughn,Malin Åkerman
Days of Thunder,"[{""id"": 12, ""name"": ""Adventure""}]",3,263.2012216666667,Paramount Pictures,Don Simpson/Jerry Bruckheimer Films,Stuart Waks,Tony Scott,Stuart Waks,Tom Cruise,Robert Duvall
Cheaper by the Dozen 2,"[{""id"": 35, ""name"": ""Comedy""}]",2,215.30304999999998,Twentieth Century Fox Film Corporation,21 Laps Entertainment,Adam Levine,Adam Shankman,Matthew Cassel,Steve Martin,Eugene Levy
Maze Runner: The Scorch Trials,"[{""id"": 28, ""name"": ""Action""}]",4,510.2572557377049,Gotham Group,Temple Hill Entertainment,Mark Aaron Wagner,Wes Ball,Dan Zimmerman,Dylan O'Brien,Kaya Scodelario
Eat Pray Love,"[{""id"": 18, ""name"": ""Drama""}]",3,340.99002666666667,Columbia Pictures,Red Om Films,Elizabeth Gilbert,Ryan Murphy,Bradley Buecker,Julia Roberts,James Franco
RED,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2,123.56027931034484,DC Comics,Di Bonaventura Pictures,Tricia Wood,Robert Schwentke,,Bruce Willis,John Malkovich
Any Given Sunday,"[{""id"": 18, ""name"": ""Drama""}]",2,182.23787636363636,Donners' Company,Ixtlan,Peter J. Devlin,Oliver Stone,Keith Salmon,Al Pacino,Cameron Diaz
The Horse Whisperer,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,311.472605,Wildwood Enterprises,Touchstone Pictures,Nick Evans,Robert Redford,Hank Corwin,Robert Redford,Kristin Scott Thomas
Collateral,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",3,335.02198615384617,Paramount Pictures,DreamWorks SKG,James Schramm,Michael Mann,Jim Miller,Tom Cruise,Jamie Foxx
The Scorpion King,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",3,275.5553,Universal Pictures,Kalima Productions GmbH & Co. KG,Nancy Young,Chuck Russell,Greg Parsons,Dwayne Johnson,Kelly Hu
Ladder 49,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2,124.23617833333334,Casey Silver Productions,Beacon Communications,Joseph Musso,Jay Russell,M. Scott Smith,Joaquin Phoenix,John Travolta
Jack Reacher,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,363.9009916666667,Paramount Pictures,Mutual Film Company,Nancy Keslar,Christopher McQuarrie,Kevin Stitt,Tom Cruise,Rosamund Pike
Deep Blue Sea,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,122.74704666666668,Village Roadshow Pictures,Warner Bros.,Larry Cheng,Renny Harlin,Derek Brechin,Thomas Jane,Saffron Burrows
Contagion,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,229.25265666666667,Double Feature Films,Regency Enterprises,Mark Weingarten,Steven Soderbergh,Stephen Mirrione,Matt Damon,Gwyneth Paltrow
Coraline,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2,207.66066333333333,Focus Features,Laika Entertainment,Yona Prost,Henry Selick,Christopher Murrie,Dakota Fanning,Teri Hatcher
The Happening,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,272.339665,Spyglass Entertainment,Twentieth Century Fox Film Corporation,Jose L. Rodriguez,M. Night Shyamalan,Conrad Buff IV,Mark Wahlberg,Zooey Deschanel
Man on Fire,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,186.13387714285713,Regency Enterprises,Fox 2000 Pictures,Peter DiStefano,Tony Scott,Christian Wagner,Denzel Washington,Dakota Fanning
The Shaggy Dog,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2,122.225832,Walt Disney Pictures,Mandeville Films,Howard R. Campbell,Brian Robbins,Ned Bastille,Tim Allen,Kristin Davis
Starsky & Hutch,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",3,283.78125,Weed Road Pictures,Warner Bros.,Jeffrey Cranford,Todd Phillips,Leslie Jones,Ben Stiller,Owen Wilson
Jingle All the Way,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2,216.387315,Twentieth Century Fox Film Corporation,1492 Pictures,John Bermudes,Brian Levant,Wilt Henderson,Arnold Schwarzenegger,Phil Hartman
Hellboy,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,150.48331363636365,Revolution Studios,Dark Horse Entertainment,Brian Morishita,Guillermo del Toro,Peter Amundson,Ron Perlman,Selma Blair
A Civil Action,"[{""id"": 18, ""name"": ""Drama""}]",1,81.00414428571429,Paramount Pictures,Wildwood Enterprises,Lauren Beth Strogoff,Steven Zaillian,Wayne Wahrman,John Travolta,Robert Duvall
ParaNorman,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2,178.565665,Focus Features,Laika Entertainment,Ross Stewart,Chris Butler,Christopher Murrie,Kodi Smit-McPhee,Tucker Albrizzi
The Jackal,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",3,265.5504666666667,Universal Pictures,Toho-Towa,Tricia Owen,Michael Caton-Jones,Jim Clark,Bruce Willis,Richard Gere
Paycheck,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,160.44968666666665,Paramount Pictures,DreamWorks SKG,Raymond Dumas,John Woo,Christopher Rouse,Ben Affleck,Aaron Eckhart
The Tale of Despereaux,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",1,84.79524166666667,Larger Than Life Productions,,Bruce Schluter,Sam Fell,Claire Dodgson,Matthew Broderick,Dustin Hoffman
Under Siege 2: Dark Territory,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2,173.87347166666666,Regency Enterprises,Warner Bros.,Shelley Woodhouse,Geoff Murphy,Michael Tronick,Steven Seagal,Eric Bogosian
Jack Ryan: Shadow Recruit,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,84.24851166666667,Paramount Pictures,Di Bonaventura Pictures,Matt Johnson,Kenneth Branagh,,Chris Pine,Keira Knightley
Joy,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2,168.556765,Fox 2000 Pictures,Davis Entertainment,Elliott Eisman,David O. Russell,Tom Cross,Jennifer Lawrence,Bradley Cooper
London Has Fallen,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",3,342.92407833333334,Millennium Films,LHF Film,Caroline Barclay,Babak Najafi,Michael J. Duthie,Gerard Butler,Aaron Eckhart
Alien: Resurrection,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]",2,231.42857142857144,Twentieth Century Fox Film Corporation,Brandywine Productions,Liza Sullivan,Jean-Pierre Jeunet,Hervé Schneid,Sigourney Weaver,Winona Ryder
Shooter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,156.8803213114754,Paramount Pictures,Di Bonaventura Pictures,Karin Silvestri,Antoine Fuqua,,Mark Wahlberg,Michael Peña
The Boxtrolls,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,180.42628333333332,Laika Entertainment,,James Bellany,Graham Annable,Edie Ichioka,Ben Kingsley,Isaac Hempstead-Wright
Practical Magic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",1,62.24450266666667,Village Roadshow Pictures,DiNovi Pictures,Robert Schaper,Griffin Dunne,Elizabeth Kling,Sandra Bullock,Nicole Kidman
The Lego Movie,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",4,781.9344866666667,Village Roadshow Pictures,DC Comics,Ryan Kirby,Christopher Miller,,Chris Pratt,Will Ferrell
Reign of Fire,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1,71.76997,The Zanuck Company,Spyglass Entertainment,Sandy Houston,Rob Bowman,Declan McGrath,Christian Bale,Matthew McConaughey
Gangster Squad,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2,175.33483833333335,Village Roadshow Pictures,Lin Pictures,Craig Branham,Ruben Fleischer,James Herbert,Josh Brolin,Ryan Gosling
Year One,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",2,103.92983333333335,Columbia Pictures,Ocean Pictures,Andrew Epstein,Harold Ramis,,Jack Black,Michael Cera
Invictus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2,203.723285,Spyglass Entertainment,Malpaso Productions,Donald Murphy,Clint Eastwood,Gary D. Roach,Morgan Freeman,Matt Damon
State of Play,"[{""id"": 28, ""name"": ""Action""}]",2,146.30699,Universal Pictures,StudioCanal,Steve Irwin,Kevin Macdonald,Justine Wright,Russell Crowe,Ben Affleck
Duplicity,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1,76.77872111526928,Universal Pictures,Laura Bickford Productions,John Gilroy,Tony Gilroy,John Gilroy,Clive Owen,Julia Roberts
My Favorite Martian,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,56.69246307692307,Walt Disney Pictures,,Jerry Leider,Donald Petrie,,Jeff Daniels,Elizabeth Hurley
The Sentinel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,129.86724333333333,Twentieth Century Fox Film Corporation,Dune Entertainment,Kathleen Jenkins-Gray,Clark Johnson,Cindy Mollo,Michael Douglas,Kiefer Sutherland
Planet 51,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",2,149.92252142857143,TriStar Pictures,Ilion Animation Studios,Chris Brown,Marcos Martínez,Alex Rodríguez,Dwayne Johnson,Seann William Scott
Star Trek: Nemesis,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2,112.18804333333334,Paramount Pictures,,Anthony J. Scarano,Stuart Baird,Dallas Puett,Patrick Stewart,Jonathan Frakes
Intolerable Cruelty,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,199.90135833333335,Imagine Entertainment,Universal Pictures,Neil A. Stelzner,Joel Coen,Ethan Coen,George Clooney,Catherine Zeta-Jones
Edge of Darkness,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1,93.62667375,Icon Productions,BBC Films,Lisa Arnone,Martin Campbell,Stuart Baird,Mel Gibson,Ray Winstone
The Relic,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1,56.59434666666666,Paramount Pictures,Universal Pictures,Mike Amron,Peter Hyams,Steven Kemper,Penelope Ann Miller,Tom Sizemore
Analyze That,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1,91.67189166666667,Village Roadshow Pictures,NPV Entertainment,Len Amato,Harold Ramis,Andrew Mondshein,Robert De Niro,Billy Crystal
Righteous Kill,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2,121.95761,Grosvenor Park Media Ltd.,InVenture Entertainment,Jon Avnet,Jon Avnet,,Robert De Niro,Carla Gugino
The Soloist,"[{""id"": 18, ""name"": ""Drama""}]",1,52.86693,DreamWorks,Universal Pictures,Robert Mazaraki,Joe Wright,Paul Tothill,Robert Downey Jr.,Jamie Foxx
